room1,dist,room2
A000__-1,5.4e-05,A108__+1
A001__-1,0.000226,A002__-1
A001__-1,0.000148,L014__-1
A002__-1,0.000226,A001__-1
A002__-1,0.000264,A003__-1
A002__-1,0.000314,C005__-1
A003__-1,0.000264,A002__-1
A101.1__+1,3.1e-05,A101__+1
A101.1__+1,5.9e-05,extra_486_556__+1
A101__+1,3.1e-05,A101.1__+1
A101__+1,0.000105,A103__+1
A101__+1,0.00029,A114__+1
A101__+1,9e-05,extra_486_556__+1
A103__+1,0.000105,A101__+1
A103__+1,0.000106,A104__+1
A103__+1,7.6e-05,A109__+1
A104__+1,0.000106,A103__+1
A104__+1,3.6e-05,A107__+1
A104__+1,6.8e-05,A108__+1
A104__+1,9.3e-05,A119__+1
A104__+1,5.6e-05,A121__+1
A105__+1,4.7e-05,A122__+1
A106.1__+1,4.3e-05,A106__+1
A106.3__+1,4e-05,A106__+1
A106__+1,4.3e-05,A106.1__+1
A106__+1,4e-05,A106.3__+1
A107__+1,3.6e-05,A104__+1
A107__+1,5.4e-05,A213__+2
A108__+1,5.4e-05,A000__-1
A108__+1,6.8e-05,A104__+1
A108__+1,5.4e-05,A214__+2
A109__+1,7.6e-05,A103__+1
A110__+1,7.3e-05,A111.1__+1
A110__+1,5.8e-05,A111__+1
A110__+1,0.000202,A114__+1
A111.1__+1,7.3e-05,A110__+1
A111__+1,5.8e-05,A110__+1
A112__+1,8e-05,A114__+1
A113__+1,0.000122,A114__+1
A114__+1,0.00029,A101__+1
A114__+1,0.000202,A110__+1
A114__+1,8e-05,A112__+1
A114__+1,0.000122,A113__+1
A114__+1,0.000215,A115__+1
A114__+1,0.0002,A116__+1
A114__+1,0.000117,D104__+1
A115__+1,0.000215,A114__+1
A116.1__+1,1.8e-05,A116__+1
A116.2__+1,2.6e-05,A116__+1
A116__+1,0.0002,A114__+1
A116__+1,1.8e-05,A116.1__+1
A116__+1,2.6e-05,A116.2__+1
A117__+1,4.4e-05,A118__+1
A117__+1,4.8e-05,A119__+1
A118__+1,4.4e-05,A117__+1
A119__+1,9.3e-05,A104__+1
A119__+1,4.8e-05,A117__+1
A119__+1,3.3e-05,A120__+1
A120__+1,3.3e-05,A119__+1
A121__+1,5.6e-05,A104__+1
A122__+1,4.7e-05,A105__+1
A201__+2,0.000138,A202__+2
A201__+2,0.000124,A208__+2
A201__+2,0.000154,A211__+2
A201__+2,7.4e-05,A212__+2
A201__+2,4.1e-05,A213__+2
A201__+2,8.5e-05,A214__+2
A201__+2,0.000374,A225__+2
A201__+2,8.4e-05,__+2
A202__+2,0.000138,A201__+2
A202__+2,0.000151,A203__+2
A202__+2,5.1e-05,A208__+2
A203__+2,0.000151,A202__+2
A203__+2,6.6e-05,A204__+2
A203__+2,0.000102,A205__+2
A203__+2,0.000127,A206__+2
A203__+2,2.9e-05,A301__+2
A203__+2,0.000333,C203.1__+2
A204__+2,6.6e-05,A203__+2
A205__+2,0.000102,A203__+2
A206__+2,0.000127,A203__+2
A206__+2,6.9e-05,A207__+2
A207__+2,6.9e-05,A206__+2
A208__+2,0.000124,A201__+2
A208__+2,5.1e-05,A202__+2
A209__+3,0.000101,A302__+3
A209__+3,0.000197,L218.1__+3
A209__+3,7e-05,__+3
A211__+2,0.000154,A201__+2
A212__+2,7.4e-05,A201__+2
A213__+2,5.4e-05,A107__+1
A213__+2,4.1e-05,A201__+2
A214__+2,5.4e-05,A108__+1
A214__+2,8.5e-05,A201__+2
A215__+2,0.000294,A225__+2
A216__+2,0.000249,A225__+2
A217__+2,0.000216,A225__+2
A218__+2,0.00017,A225__+2
A219__+2,0.000107,A225__+2
A220__+2,7.3e-05,A225__+2
A221__+2,0.000105,A225__+2
A222__+2,0.000168,A225__+2
A223.1__+2,5.4e-05,A223__+2
A223__+2,5.4e-05,A223.1__+2
A223__+2,8.6e-05,A224.1__+2
A223__+2,0.000241,A225__+2
A224.1__+2,8.6e-05,A223__+2
A224.1__+2,1.8e-05,A224.2__+2
A224.1__+2,2.6e-05,A224.3__+2
A224.1__+2,0.00029,A225__+2
A224.2__+2,1.8e-05,A224.1__+2
A224.3__+2,2.6e-05,A224.1__+2
A224__+2,0.000305,A225__+2
A225__+2,0.000374,A201__+2
A225__+2,0.000294,A215__+2
A225__+2,0.000249,A216__+2
A225__+2,0.000216,A217__+2
A225__+2,0.00017,A218__+2
A225__+2,0.000107,A219__+2
A225__+2,7.3e-05,A220__+2
A225__+2,0.000105,A221__+2
A225__+2,0.000168,A222__+2
A225__+2,0.000241,A223__+2
A225__+2,0.00029,A224.1__+2
A225__+2,0.000305,A224__+2
A225__+2,0.000193,D202__+2
A301__+2,2.9e-05,A203__+2
A301__+2,5.4e-05,A301__+3
A301__+3,5.4e-05,A301__+2
A301__+3,2.3e-05,A302__+3
A302__+3,0.000101,A209__+3
A302__+3,2.3e-05,A301__+3
A302__+3,9.4e-05,A303__+3
A302__+3,0.000115,A304__+3
A302__+3,7.2e-05,A305__+3
A302__+3,6.6e-05,A306__+3
A302__+3,0.000111,A307__+3
A302__+3,0.000122,A308__+3
A302__+3,1.1e-05,A309__+3
A302__+3,1.6e-05,A310__+3
A302__+3,4.8e-05,A311__+3
A303__+3,9.4e-05,A302__+3
A304__+3,0.000115,A302__+3
A305__+3,7.2e-05,A302__+3
A306__+3,6.6e-05,A302__+3
A307__+3,0.000111,A302__+3
A308__+3,0.000122,A302__+3
A309__+3,1.1e-05,A302__+3
A310__+3,1.6e-05,A302__+3
A311__+3,4.8e-05,A302__+3
C001__+1,0.000106,C106__+1
C001__-1,0.000176,C002__-1
C002__-1,0.000176,C001__-1
C002__-1,0.000421,C003__-1
C003__-1,0.000421,C002__-1
C003__-1,7.1e-05,C004__-1
C003__-1,0.000328,C005__-1
C003__-1,0.000146,C006__-1
C004__-1,7.1e-05,C003__-1
C005__-1,0.000314,A002__-1
C005__-1,0.000328,C003__-1
C006__-1,0.000146,C003__-1
C006__-1,0.000124,C007__-1
C007__-1,0.000124,C006__-1
C007__-1,0.000355,F003__-1
C008__-1,6.4e-05,C009__-1
C009__-1,6.4e-05,C008__-1
C010__-1,0.000121,C011__-1
C010__-1,3.3e-05,C133.1__-1
C011__-1,0.000121,C010__-1
C011__-1,5.1e-05,C012__-1
C012__-1,5.1e-05,C011__-1
C012__-1,6e-05,C013__-1
C012__-1,4.4e-05,C014__-1
C013__-1,6e-05,C012__-1
