id,name,floor
D006__-2,D006 Staircase,-2
D008__-2,D008 Staircase,-2
D0201__-2,D0201 Foyer,-2
D0202__-2,D0202 Aircondition,-2
D0203__-2,D0203 Technology Room,-2
D0205__-2,D0205 Elevator,-2
D0206__-2,D0206 Lecture Room 154,-2
D0207__-2,D0207 Lecture Room 90,-2
D0209__-2,D0209 Cleaning Room,-2
Q0201__-2,Q0201 Staircase,-2
Q0202__-2,Q0202 Cellar,-2
Q0203__-2,Q0203 Cellar,-2
Q0204__-2,Q0204 Cellar,-2
Q0205__-2,Q0205 Corridor,-2
Q0206__-2,Q0206 Staircase,-2
A000__-1,A000 Staircase,-1
A001__-1,A001 Corridor,-1
A002__-1,A002 Corridor,-1
A003__-1,A003 Cellar,-1
C001__-1,C001 Corridor,-1
C002__-1,C002 Corridor,-1
C003__-1,C003 Cellar,-1
C004__-1,C004 Cellar,-1
C005__-1,C005 Corridor,-1
C006__-1,C006 Corridor,-1
C007__-1,C007 Corridor,-1
C008__-1,C008 Common Room FIT - Wine Bar,-1
C009__-1,C009 Technical Room - Pumps,-1
C010__-1,C010 Corridor,-1
C011__-1,C011 Substation,-1
C012__-1,C012 Corridor,-1
C013__-1,C013 Corridor,-1
C014__-1,C014 Cellar,-1
C015__-1,C015 Cellar,-1
C016__-1,C016 Cellar,-1
C017__-1,C017 Cellar,-1
C018__-1,C018 Cellar,-1
C133.1__-1,C133.1 Staircase,-1
D001__-1,D001 Staircase,-1
D002__-1,D002 Corridor,-1
D003__-1,D003 Toilets (men),-1
D003.1__-1,D003.1 Toilets (men),-1
D004__-1,D004 Toilets (women),-1
D004.1__-1,D004.1 Toilets (woman),-1
D004.2__-1,D004.2 Cleaning Room,-1
D005__-1,D005 Aircondition,-1
D006__-1,D006 Staircase,-1
D007__-1,D007 Elevator,-1
D008__-1,D008 Staircase,-1
D009__-1,D009 Light well,-1
D010__-1,D010 Light well,-1
E001__-1,E001 Entrance,-1
E002__-1,E002 Garden Equipment Warehouse,-1
E003__-1,E003 Distribution Room,-1
E004__-1,E004 Storage Room,-1
E005__-1,E005 Storage Room,-1
E006__-1,E006 Storage Room,-1
E007__-1,E007 Cloak Room,-1
E007.1__-1,"E007.1 Toilets, Washroom",-1
E008__-1,E008 Air Conditioning,-1
E009__-1,E009 Cloak Room,-1
E010__-1,E010 Cleaning Room,-1
E011__-1,E011 Storage Room,-1
E012__-1,E012 Storage Room,-1
E013__-1,E013 Toilets (men),-1
E013.1__-1,E013.1 Toilets (men),-1
E014__-1,E014 Toilets (women),-1
E014.1__-1,E014.1 Toilets (women),-1
E015__-1,E015 LV Substation,-1
E016__-1,E016 Central Heating,-1
E017__-1,E017 Workshop,-1
E018__-1,E018 Office,-1
E019__-1,"E019 Dispatching, Office",-1
E020__-1,E020 Office,-1
E022__-1,"E022 Toilets, Washroom",-1
E026__-1,E026 Corridor,-1
F001__-1,F001 Staircase - outdoor,-1
F002__-1,F002 Corridor,-1
F003__-1,F003 Corridor,-1
F004__-1,F004 Exchanger,-1
F005__-1,F005 Storage Room,-1
F006__-1,F006 Storage Room,-1
F007__-1,F007 Toilets,-1
G001__-1,G001 Air Conditioning,-1
G001.1__-1,G001.1 Corridor,-1
G002__-1,G002 Substation,-1
I000__-1,I000 Staircase,-1
I001__-1,I001 Corridor,-1
I002__-1,I002 Cellar,-1
I003__-1,I003 Cellar,-1
I005__-1,I005 Cellar,-1
L001__-1,L001 Staircase,-1
L001.1__-1,L001.1 Storage Room,-1
L002__-1,L002 Corridor,-1
L003__-1,L003 Corridor,-1
L004__-1,L004 DHW Boiler Room,-1
L004.1__-1,L004.1 Boiler room,-1
L005__-1,L005 Air Conditioning Engine Room,-1
L006__-1,L006 Cooling Source,-1
L007__-1,L007 LV Substation,-1
L008__-1,L008 Motor Generator,-1
L008.1__-1,L008.1 Light well,-1
L009__-1,L009 Switch room,-1
L009.1__-1,L009.1 Transformers,-1
